,min_01,max_01,mean_01,std_01,min_02,max_02,mean_02,std_02,min_03,max_03,mean_03,std_03,min_04,max_04,mean_04,std_04,min_05,max_05,mean_05,std_05,min_06,max_06,mean_06,std_06,min_07,max_07,mean_07,std_07,min_08,max_08,mean_08,std_08,min_09,max_09,mean_09,std_09,min_10,max_10,mean_10,std_10,min_11,max_11,mean_11,std_11,min_12,max_12,mean_12,std_12,y
42,19300,19529,19428.410094637224,62.197981640727846,13566,14958,14203.940063091482,237.504008674114,9732,12517,11171.572555205048,506.2148537668843,5538,7225,6300.102523659306,299.16481097569493,8552,12402,10207.039432176656,703.1797428901334,21577,41877,31401.88643533123,4607.104177113319,26116,55164,40219.492113564665,6983.9424143827355,23740,60538,39749.761829653,7966.041962639313,7127,11600,9435.750788643532,1354.679671953292,180,246,204.92271293375396,18.441535760896706,9503,21512,15974.274447949527,2944.1317927372747,3424,7782,5762.834384858044,976.485657412918,0
3792,20021,22380,21216.734275618375,501.71901677470817,14139,21692,16910.12296819788,1497.7652900340447,10518,21070,14529.297526501767,1826.8206895093244,6685,21414,12386.798586572439,3203.677096215814,10682,21840,16860.42190812721,2333.9275442290077,19742,38748,27603.963250883393,3406.8409698285755,23052,47316,32486.82049469965,4397.428079223975,17645,52854,32095.951236749115,5622.428168755604,6947,10027,8291.220494699646,583.8732310773117,180,246,218.74982332155477,16.558226579557086,14008,39288,30563.07632508834,5797.779410281798,6341,23642,16767.10812720848,4473.2383359504365,1
830,19415,19726,19550.792993630574,51.1601564399655,13484,15040,14261.891719745223,257.39623670576634,9486,13369,11178.058917197452,653.0032783689611,5439,7782,6504.608280254777,401.08092730758057,8241,13467,10629.691082802548,1005.8382599638512,18120,34045,24926.952229299364,3032.6209561961414,23330,43679,30159.261146496814,3592.3362905161307,17596,43220,28899.191082802547,5001.743919930071,6914,8733,7577.641719745223,440.4849390250142,180,229,195.12261146496814,11.935439315399677,10240,17563,13827.273885350318,1665.3067021566812,3998,7258,5492.972929936306,645.7588886425352,1
748,19169,19906,19279.78440677966,111.23447655201434,13222,14844,14048.734237288136,226.59417890262287,9240,12927,10870.412881355933,537.5696871216203,5161,7766,6213.837966101695,339.22422190649456,8307,14090,10348.122711864407,894.7398079468966,21512,38387,29648.335593220338,3674.219120531909,26804,51412,37883.11457627119,5120.154946651492,18153,52739,36787.510508474574,6169.705253877213,8634,11993,9490.316610169491,626.1299216145571,180,229,209.7206779661017,16.15112777343803,10879,20136,14631.804067796611,2046.3326154699278,3948,8356,5320.7613559322035,740.7603221781088,1
1228,19235,19841,19532.90243902439,114.73368238654295,13697,15925,14442.071294559099,382.55277944804857,9601,14319,11488.834896810507,843.491632496601,5800,9945,6863.069418386492,727.9275839077217,9306,17121,11608.474671669794,1658.444988631014,19513,37683,27810.926829268294,3656.724533714778,24543,46989,33853.13133208255,4702.62683066129,18530,47185,33054.95121951219,5948.949911709584,6701,9978,8324.121951219513,793.7551915277427,164,246,210.38836772983115,19.494002920604252,10551,25542,15406.435272045028,3350.0141068328576,4014,11092,6105.142589118199,1550.744333271295,0
4367,19448,20037,19658.334650112865,111.34426042613835,13697,15925,14558.09367945824,331.5955803711443,9781,14450,11671.781602708803,731.2591055867448,5538,9552,6865.900112866817,526.9816000959771,9175,16056,11526.997742663656,1068.0807342369665,21856,41074,29357.634875846503,3588.725188400216,25903,52444,36168.270880361175,4621.662602956092,21201,59391,34974.45541760723,6060.095233211855,7438,9290,8131.31941309255,385.50726689460663,180,246,206.65237020316027,17.467413388922772,12402,26247,17151.190744920994,2396.268171992434,4768,10748,6695.720090293454,1035.6076490104401,0
457,19284,19431,19361.350792111218,34.78110567787723,13336,14909,14082.158745554478,219.14721341981766,8880,12550,10799.58583899127,477.06649551654573,5112,7012,6214.906886517943,302.0946120038948,7700,12353,9892.3876495312,710.6225856025922,19235,37109,26636.986744261234,2906.4863444544176,24445,48168,33490.943743937925,3855.1933524459487,18596,49856,32623.927578402847,5009.392231033426,7356,9060,8105.979954736502,289.5239226115333,147,246,200.3378596831555,16.815000468248705,9208,18022,13432.496281926931,1560.0732081779477,3506,6652,5035.186226964112,578.8804977652484,0
861,19185,19529,19386.03473830477,68.86183276919871,13467,14778,14151.608151922186,192.442363376949,9552,12910,10925.003705419176,389.4262308070095,5439,7029,6245.643816581751,240.93764565643463,8700,11731,10068.171838814265,551.2760468893266,20480,33865,26397.18758684576,2233.9978708163762,25002,43974,33011.98934691987,2963.5873298076554,20988,46432,32045.11996294581,3934.42102903168,6930,9175,7819.924038906901,458.9889868123178,180,246,217.43631310792034,17.5053884783202,9240,16941,12941.521074571561,1325.002145609195,3326,6291,4820.744789254284,469.12847678918763,1
365,19169,19480,19246.440347071584,72.95592835913256,13205,14680,13847.893709327549,204.17365217486585,9404,12009,10496.032537960955,447.64403397550427,5374,7078,5934.379609544469,325.63501975650826,8143,12157,9446.535791757049,765.4204530694777,17629,28835,22022.665943600867,2435.73574187379,21102,36945,27054.787418655098,3256.239056353106,16941,36470,26173.98481561822,4067.805248254934,6390,8946,7219.867678958785,591.9330386010349,180,213,191.85683297180043,9.466524073774211,7143,14893,9914.544468546637,1709.8700895321779,2654,6701,3824.164859002169,755.2156283292226,1
3143,19349,21315,19916.95294117647,467.3337800294241,13877,16941,14706.547593582887,465.73762510171497,10305,16056,11929.2,812.2391586897858,6013,12812,7411.877005347594,1015.7134290236855,8765,18579,12036.095187165776,1690.1634134607918,18874,31719,25856.143315508023,2317.9525915975546,23216,38633,31188.894117647058,3031.952516192607,21414,41811,30374.745454545453,3513.987816994726,6504,8438,7625.734759358289,430.2220048970873,164,246,205.30588235294118,15.63824044860563,9601,31916,16022.17860962567,4035.1919442477742,3588,16548,7036.805347593583,2325.8673286668004,1
1511,19333,19873,19575.320659062105,124.19037612675979,13353,17006,14662.847275031685,541.1142122911992,9273,15696,12393.865019011408,1170.7110700496457,5161,11469,7382.127376425856,1063.7856448664436,7897,18333,13470.850443599493,2014.2031756104495,19710,44515,34210.859315589354,5017.688421276167,23658,55164,42281.50253485425,6400.251827789204,16449,60800,41935.25728770596,8256.572821093878,8012,11092,9485.555133079848,791.2311121384553,164,229,193.10329531051966,14.3049390742007,10633,30556,20857.138783269962,4092.551908136279,3998,13680,8296.723067173638,1973.4621706916623,0
366,19202,19333,19269.805194805194,40.748581563300164,13074,14647,14112.48051948052,260.7196223570087,8552,12353,11180.941558441558,644.9261231930305,4964,7012,6322.0670995671,357.92666217767027,7291,12894,10838.463203463203,1125.0523632589668,18432,40664,32518.08658008658,4919.259609879011,23396,53771,41613.89826839827,6480.163121613859,14041,55951,41486.90909090909,7676.725302390265,7422,10699,9272.387445887445,777.3053571692096,164,229,190.46103896103895,18.14532477090923,8356,20676,15874.974025974027,2736.998514697299,2982,7356,5616.945887445888,940.273748532871,0
3474,19841,20447,20130.31393568147,121.30719009749427,14237,16056,15112.632465543646,308.8170379490286,10453,14418,12249.73506891271,613.7728417970272,6275,10502,8265.591117917305,699.1260414184331,9306,16728,12587.200612557428,1357.9609583300924,17940,35913,24785.55436447167,4125.55465987771,20103,43384,29781.732006125574,5364.972248607855,17662,45711,28700.59571209801,5714.27848992688,7094,9503,7945.098009188361,557.3000568226013,180,262,231.89739663093414,19.175665952934963,11583,23937,17875.689127105667,2519.182409450929,4915,11682,8336.203675344563,1207.0067782760195,1
3914,19448,20005,19602.113394216132,116.33652605247738,13812,15597,14467.179604261795,246.60083289893643,9879,13992,11508.251902587519,610.9882540530124,5783,8585,6690.239726027397,372.3721885334991,9044,15581,11022.882800608828,1075.011752422854,22118,41484,30718.629375951296,3538.668552604905,27852,52313,38631.355403348556,4284.054110866249,22593,55492,37597.48401826484,5186.243315950455,6881,10338,8181.238203957382,702.6652080134851,180,246,218.765601217656,12.395431879843978,10420,25591,15315.342465753425,2525.4276473594523,3916,10404,5684.897260273972,1037.4447091060608,0
312,19185,19349,19226.86998706339,43.36531294723324,13386,14811,14047.131306597672,196.25811729945184,9535,12681,10793.48188874515,394.4670139472023,5341,7225,6214.604786545925,267.9097537860939,8552,11600,9884.413971539456,551.2555298207589,20676,34652,26491.886157826648,2209.4295576511067,25641,44171,33136.32729624838,3025.047037405787,21627,51216,32491.663001293662,3972.0231981724337,6914,9634,7894.972186287193,400.58527993021977,164,246,194.91591203104787,16.391851629616816,9748,15778,12700.136481241914,1136.4273602043356,3703,5882,4732.630012936611,418.601078724808,0
3894,20136,22249,21311.4,406.9066838662152,14631,19464,16989.60703125,680.043732128171,11632,18284,14753.68046875,739.8709443585619,6996,17580,12479.65703125,1287.4622641425988,10617,21495,17583.5453125,1087.3762405771874,24215,37273,29940.02109375,2142.1554008226863,29311,45924,35408.28828125,2731.9765962326014,27951,49397,35087.4671875,3439.9503676268123,7422,9797,8641.37578125,401.3140858569534,147,279,212.68671875,32.289406329451126,15352,42745,35380.62578125,3226.537295149644,6586,25755,18870.12734375,2473.572194886339,0
4413,19759,20168,20003.889095992545,107.33560351679297,14057,16105,15366.205964585275,303.1424381720595,10830,14975,13662.205032618825,674.6259347302375,6521,10895,8976.277726001865,756.5568305639225,11370,19366,16199.605778191984,1597.9879491980166,27213,44367,37482.680335507925,3490.228640111757,33292,55295,45895.999068033554,4545.591563756164,27050,57851,46018.266542404475,5298.1810400767345,7979,11272,9852.24697110904,748.5563126252836,180,229,195.6561043802423,10.675598750537967,15892,30277,25635.390493942217,2844.4065762638847,6373,13975,10853.2935694315,1262.680095585984,0
1148,19366,19611,19459.13708820404,48.90159408398693,13369,14942,14280.461565710237,208.01708898358044,9273,12304,11135.606801275238,439.49404038061755,5357,7340,6477.21041445271,256.1332600529542,8208,12271,10649.201558625575,565.0562786629075,17531,35323,28916.62132483174,2783.8292335608776,21053,45121,36291.665958200494,3846.0846232899135,13795,51134,35321.73751328374,4927.95754527287,7029,9355,8558.867162592986,411.7740891877251,147,246,204.63584838823945,19.963814698676693,10453,18530,15009.386822529224,1372.592146526,4047,7012,5547.727948990436,448.6227173988813,0
